Video_id,Is_Reply,Parent_Comment_ID,Comment_ID,Channel_ID,Display Name,Comment Text,Likes,Timestamp
mDhpmH8vWnI,False,,UgwEdCAHiGoYTrO8A5x4AaABAg,UC-miQu01nszaoFliZZyITDQ,@desiqn27,Firefly,0,2025-05-21T16:50:43Z
mDhpmH8vWnI,False,,Ugw6tLLJqbE0v5CqOT14AaABAg,UC4wWf8A4lrETD4Diy63Yvpg,@DanielGomez-x5h,Firefly,0,2025-05-21T12:06:38Z
mDhpmH8vWnI,False,,UgzCrK9mDqa0vW5tHS94AaABAg,UCkT6qZCrSkvGRZ7M09POyNw,@markd.8652,Frage: heißt der Delphin war KI generiert?,0,2025-05-21T05:51:25Z
mDhpmH8vWnI,True,UgzCrK9mDqa0vW5tHS94AaABAg,UgzCrK9mDqa0vW5tHS94AaABAg.AINOnXgsMhKAIO8vz-a_6s,UC3w54fnIqHgKoeuA3ciLC5w,@MatthiasDangl,"Hi Mark, nein der Shot war 100% echt - ich habe den Clip in diesem Beispiel einfach gekürzt, um ihn stattdessen demonstrativ mit Generative Extend zu erweitern",1,2025-05-21T12:52:00Z
nMw5kdzDD-I,False,,UgyiXn3uMcHDrqQF0iB4AaABAg,UCZ8Gyx9eL9oJ4-A4DkdMA_Q,@TechVoid_yt,Ai,0,2025-05-21T08:09:41Z
nMw5kdzDD-I,False,,Ugw4g4ARoBs5f8wO9-F4AaABAg,UCMGl52P2Vl-Y82HDftdXEgA,@killahertz,Ai,0,2025-04-29T21:47:36Z
nMw5kdzDD-I,False,,UgwxqsOVyBkf1m8PkjV4AaABAg,UCDmAiw4BDLt-1StBbdHP6zA,@JudithSamp,"your sound effect design is amazing
can you make a whole video on it?",0,2025-04-22T20:50:55Z
nMw5kdzDD-I,False,,UgyvM7WWzxz3sTocYt54AaABAg,UCFucVkACPchRMKMKZ9KRD6A,@KyleE.Davis-y6s,AI,0,2025-04-20T19:20:26Z
nMw5kdzDD-I,False,,UgwXeFQaviW-tKiNcIJ4AaABAg,UCUpJJPxeAZ_IkrcIrwEoMkQ,@anagazōReviews,Ai,0,2025-04-19T01:29:00Z
nMw5kdzDD-I,False,,Ugx8U4Fb_An8HLq-WwJ4AaABAg,UCaDpOpgayQXOLKE_lR4RLWQ,@BABY_OIL_DIDDLER,Ai,0,2025-04-18T12:12:22Z
nMw5kdzDD-I,False,,Ugz3kodY7nqbjEWao754AaABAg,UCMGJ6KYSueHtPgObBajK9AQ,@Yay-y3r,I think I’d better off by doing the animation myself,1,2025-04-18T09:59:09Z
nMw5kdzDD-I,True,Ugz3kodY7nqbjEWao754AaABAg,Ugz3kodY7nqbjEWao754AaABAg.AH2rv827msRAH2rxy87GmJ,UCMGJ6KYSueHtPgObBajK9AQ,@Yay-y3r,And any custom,1,2025-04-18T09:59:33Z
nMw5kdzDD-I,False,,Ugzxyln-V5q_NDJdB6J4AaABAg,UCm8lXDZ0QqL5z1sOl240xRw,@BlackmanMan-th9wf,Ai,0,2025-04-18T07:26:31Z
nMw5kdzDD-I,False,,UgxVhDiW658OkvkxE6N4AaABAg,UCyoqaknqcGc_Heu69R7cYQg,@dimitriusthemarcusthejames3rd,Ai,0,2025-04-17T20:31:41Z
nMw5kdzDD-I,False,,UgzZcdDrLVlKnNwbLIl4AaABAg,UCd5RQwmaiy3azs6TOJYfFzw,@JomesaGomtva,Ai,0,2025-04-17T18:53:09Z
nMw5kdzDD-I,False,,UgyvusjSICXxZqHPitB4AaABAg,UCNXUmpuEijZngdPOEfr49Xw,@AimstrikeX,AI,0,2025-04-17T16:13:52Z
