Video_id,Is_Reply,Parent_Comment_ID,Comment_ID,Channel_ID,Display Name,Comment Text,Likes,Timestamp,cleaned_comment,cleaned_comment_for_sentiment,mentioned_products,language,is_english,sentiment_label,engagement_label
mDhpmH8vWnI,FALSE,,UgwEdCAHiGoYTrO8A5x4AaABAg,UC-miQu01nszaoFliZZyITDQ,@desiqn27,Firefly,0,2025-05-21T16:50:43Z,Firefly,[product],['firefly'],unknown,FALSE,neutral,engagement
mDhpmH8vWnI,FALSE,,Ugw6tLLJqbE0v5CqOT14AaABAg,UC4wWf8A4lrETD4Diy63Yvpg,@DanielGomez-x5h,Firefly,0,2025-05-21T12:06:38Z,Firefly,[product],['firefly'],unknown,FALSE,neutral,engagement
mDhpmH8vWnI,FALSE,,UgzCrK9mDqa0vW5tHS94AaABAg,UCkT6qZCrSkvGRZ7M09POyNw,@markd.8652,Frage: heißt der Delphin war KI generiert?,0,2025-05-21T05:51:25Z,Frage: heißt der Delphin war KI generiert,Frage: heißt der Delphin war KI generiert,[],de,FALSE,,
mDhpmH8vWnI,TRUE,UgzCrK9mDqa0vW5tHS94AaABAg,UgzCrK9mDqa0vW5tHS94AaABAg.AINOnXgsMhKAIO8vz-a_6s,UC3w54fnIqHgKoeuA3ciLC5w,@MatthiasDangl,"Hi Mark, nein der Shot war 100% echt - ich habe den Clip in diesem Beispiel einfach gekürzt, um ihn stattdessen demonstrativ mit Generative Extend zu erweitern",1,2025-05-21T12:52:00Z,Hi Mark nein der Shot war 100 echt ich habe den Clip in diesem Beispiel einfach gekürzt um ihn stattdessen demonstrativ mit Generative Extend zu erweitern,Hi Mark nein der Shot war 100 echt ich habe den Clip in diesem Beispiel einfach gekürzt um ihn stattdessen demonstrativ mit Generative Extend zu erweitern,[],de,FALSE,,
nMw5kdzDD-I,FALSE,,UgyiXn3uMcHDrqQF0iB4AaABAg,UCZ8Gyx9eL9oJ4-A4DkdMA_Q,@TechVoid_yt,Ai,0,2025-05-21T08:09:41Z,Ai,Ai,[],unknown,FALSE,neutral,other
nMw5kdzDD-I,FALSE,,Ugw4g4ARoBs5f8wO9-F4AaABAg,UCMGl52P2Vl-Y82HDftdXEgA,@killahertz,Ai,0,2025-04-29T21:47:36Z,Ai,Ai,[],unknown,FALSE,neutral,other
nMw5kdzDD-I,FALSE,,UgwxqsOVyBkf1m8PkjV4AaABAg,UCDmAiw4BDLt-1StBbdHP6zA,@JudithSamp,"your sound effect design is amazing
can you make a whole video on it?",0,2025-04-22T20:50:55Z,your sound effect design is amazing can you make a whole video on it,your sound effect design is amazing can you make a whole video on it,[],en,TRUE,positive,appreciation
nMw5kdzDD-I,FALSE,,UgyvM7WWzxz3sTocYt54AaABAg,UCFucVkACPchRMKMKZ9KRD6A,@KyleE.Davis-y6s,AI,0,2025-04-20T19:20:26Z,AI,AI,[],unknown,FALSE,neutral,other
nMw5kdzDD-I,FALSE,,UgwXeFQaviW-tKiNcIJ4AaABAg,UCUpJJPxeAZ_IkrcIrwEoMkQ,@anagazōReviews,Ai,0,2025-04-19T01:29:00Z,Ai,Ai,[],unknown,FALSE,neutral,other
nMw5kdzDD-I,FALSE,,Ugx8U4Fb_An8HLq-WwJ4AaABAg,UCaDpOpgayQXOLKE_lR4RLWQ,@BABY_OIL_DIDDLER,Ai,0,2025-04-18T12:12:22Z,Ai,Ai,[],unknown,FALSE,neutral,other
